column_name,count,min,max,mean,std,pct_zero,pct_negative,n_unique,change_ratio,lag1_autocorr,median_abs_step,mean_abs_step,longest_constant_run,status,guessed_type,confidence,reason,role_group,nonnegative_expected,negative_value_policy,nan_replacement_count
Val_11,30858,22.5,179.699997,126.8549743869661,62.26164170965501,0.0,0.0,1309,0.32289843800635165,0.999986359229329,0.0,0.07761690817966853,127,ACTIVE,temperature_zone_candidate,high,"22.5-180 range, smooth heating/cooling, strong thermal inertia",temperature,True,replace_lt_0_with_NaN,0
Val_12,30858,0.0,0.0,0.0,0.0,100.0,0.0,1,0.0,NaN,0.0,0.0,30858,INACTIVE,unused_channel,high,"100% zero, no variation",inactive,True,not_applicable,0
Val_14,30858,0.0,0.0,0.0,0.0,100.0,0.0,1,0.0,NaN,0.0,0.0,30858,INACTIVE,unused_channel,high,"100% zero, no variation",inactive,True,not_applicable,0
Val_15,30858,0.0,0.0,0.0,0.0,100.0,0.0,1,0.0,NaN,0.0,0.0,30858,INACTIVE,unused_channel,high,"100% zero, no variation",inactive,True,not_applicable,0
Val_19,30858,0.0,37.5,23.82898139608011,17.525197655991096,34.79810745997796,0.0,39,0.04177198781515328,0.999613156452153,0.0,0.016508346474381985,6702,ACTIVE,recipe_or_setpoint_level,high,"0-37.5 range, immediate ON/OFF response, only 39 unique values, strongly stepwise",control_or_setpoint,True,replace_lt_0_with_NaN,0
Val_20,30858,0.0,22.1000004,11.697060739702831,8.574537050117998,34.79810745997796,0.0,74,0.3508976602501782,0.9991407607140175,0.0,0.08289197255792831,3421,ACTIVE,aux_load_or_control_signal,medium,"0-22.1 range, immediate ON/OFF response, moderately dynamic but less likely primary measured variable",control_or_setpoint,True,replace_lt_0_with_NaN,0
Val_21,30858,100.0,100.0,100.0,0.0,0.0,0.0,1,0.0,NaN,0.0,0.0,30858,INACTIVE,constant_marker_or_limit,high,constant 100 for all rows,inactive,True,not_applicable,0
Val_22,30858,0.0,0.0,0.0,0.0,100.0,0.0,1,0.0,NaN,0.0,0.0,30858,INACTIVE,unused_channel,high,"100% zero, no variation",inactive,True,not_applicable,0
Val_23,30858,0.0,0.0,0.0,0.0,100.0,0.0,1,0.0,NaN,0.0,0.0,30858,INACTIVE,unused_channel,high,"100% zero, no variation",inactive,True,not_applicable,0
Val_27,30858,24.0,175.300003,127.62235403568606,61.72784948885294,0.0,0.0,1288,0.7514744960788127,0.999947148741002,0.3000030000000038,0.4085782007032439,85,ACTIVE,temperature_zone_candidate,high,"24-175 range, smooth heating/cooling, strong thermal inertia",temperature,True,replace_lt_0_with_NaN,0
Val_28,30858,24.2000008,180.699997,131.93875190792016,63.19230261198865,0.0,0.0,1345,0.46072331324129884,0.9999826561752161,0.0,0.09740417994296273,123,ACTIVE,temperature_zone_candidate,high,"24-181 range, smooth heating/cooling, strong thermal inertia",temperature,True,replace_lt_0_with_NaN,0
Val_29,30858,23.7999992,182.600006,133.48881324602698,62.12002836993437,0.0,0.0,1499,0.32597705619288353,0.9999881140408745,0.0,0.06961227979064825,149,ACTIVE,temperature_zone_candidate,high,"24-183 range, smooth heating/cooling, strong thermal inertia",temperature,True,replace_lt_0_with_NaN,0
Val_30,30858,20.7000008,184.600006,131.1762919794154,66.20778522290031,0.0,0.0,1442,0.25678916326398343,0.9999641549948666,0.0,0.06998083891175418,91,ACTIVE,temperature_zone_candidate,high,"21-185 range, smooth heating/cooling, strong thermal inertia",temperature,True,replace_lt_0_with_NaN,0
Val_31,30858,21.0,185.0,131.58061767573724,66.30363386492436,0.0,0.0,1408,0.3938686888327176,0.9999626368562983,0.0,0.08478259215413184,122,ACTIVE,temperature_zone_candidate,high,"21-185 range, smooth heating/cooling, strong thermal inertia",temperature,True,replace_lt_0_with_NaN,0
Val_32,30858,24.5,182.199997,133.62001129452008,61.9582868789991,0.0,0.0,1459,0.30176939529457514,0.9999865611079948,0.0,0.06720080938847003,104,ACTIVE,temperature_zone_candidate,high,"24.5-182 range, smooth heating/cooling, strong thermal inertia",temperature,True,replace_lt_0_with_NaN,0
Val_33,30858,0.600000024,7.5,4.046127417410331,2.35003640100704,0.0,0.0,69,0.26573335925853914,0.9996701313510853,0.0,0.029633471506368088,995,ACTIVE,slow_derived_process_metric,medium,"0.6-7.5 range, smooth rise and gradual decay, likely derived thermal/process metric",derived_slow,True,replace_lt_0_with_NaN,0
Val_34,30858,6.0,68.0,37.2389331777821,21.236153483786257,0.0,0.0,62,0.24927085358740034,0.9996395907043644,0.0,0.27306607900962504,995,ACTIVE,slow_derived_process_metric_scaled,medium,"6-68 range, same shape as Val_33 at about 10x scale, likely related derived metric",derived_slow,True,replace_lt_0_with_NaN,0
Val_35,30858,200.0,200.0,200.0,0.0,0.0,0.0,1,0.0,NaN,0.0,0.0,30858,INACTIVE,constant_setpoint_or_limit,high,constant 200 for all rows,inactive,True,not_applicable,0
Val_36,30858,200.0,200.0,200.0,0.0,0.0,0.0,1,0.0,NaN,0.0,0.0,30858,INACTIVE,constant_setpoint_or_limit,high,constant 200 for all rows,inactive,True,not_applicable,0
Val_37,30858,0.0,0.0,0.0,0.0,100.0,0.0,1,0.0,NaN,0.0,0.0,30858,INACTIVE,unused_channel,high,"100% zero, no variation",inactive,True,not_applicable,0
Val_38,30773,-98.4000015,100.0,11.512361485633736,15.076282374948061,34.91372306892406,2.953888148701784,766,0.6506902586039277,0.7915622502532925,4.3000012000000005,6.543303425027437,3302,ACTIVE,bounded_deviation_or_score,medium,"-100 to 100 bounded, production-active, negatives likely semantic not raw physical",bounded_score,False,replace_sentinel_-1_and_-100_with_NaN_keep_other_in_range_negatives,85
Val_39,30858,0.0,100.0,10.23228336526703,9.782152816020519,32.65603733229632,0.0,314,0.6216540281288483,0.9444157945831321,0.3000012000000005,1.1544673823089089,3312,ACTIVE,bounded_percentage_signal,medium,"0-100 bounded, zero in OFF periods, percentage-like behavior",bounded_percentage,True,replace_lt_0_or_gt_100_with_NaN,0
Val_40,30858,0.0,100.0,4.847614882058429,8.407948452233207,33.689804912826496,0.0,217,0.4658759478903364,0.9574876891300285,0.0,0.5365460034824513,3312,ACTIVE,bounded_percentage_signal,medium,"0-100 bounded, zero in OFF periods, percentage-like behavior",bounded_percentage,True,replace_lt_0_or_gt_100_with_NaN,0
Val_41,30858,0.0,100.0,1.218270788792404,10.374060770933404,97.92922418821699,0.0,226,0.012022814181087563,0.9751797780666779,0.0,0.10293936543597888,9984,INACTIVE,rare_event_flag_or_unused,high,"97.9% zero, effectively inactive for modeling",inactive,True,not_applicable,0
Val_42,30858,0.0,100.0,7.578776981809903,10.578018168915182,33.388424395618635,0.0,227,0.6091775228465875,0.9636440425234921,0.2999992399999982,0.814343581248339,3302,ACTIVE,bounded_percentage_signal,medium,"0-100 bounded, zero in OFF periods, percentage-like behavior",bounded_percentage,True,replace_lt_0_or_gt_100_with_NaN,0
Val_43,30858,0.0,100.0,1.328226067714337,7.583353826643757,57.69330481560697,0.0,180,0.346555188281807,0.94206770785919,0.0,0.3828888093904787,3312,ACTIVE,bounded_percentage_signal,medium,"0-100 bounded, mostly low values with production-only activation",bounded_percentage,True,replace_lt_0_or_gt_100_with_NaN,0
Val_44,30858,0.0,100.0,20.50046340124836,15.493760670666003,32.954177198781515,0.0,477,0.6459589085488366,0.9633485969841171,0.7999991999999985,1.7359432054200346,3312,ACTIVE,bounded_score_or_percentage,medium,"0-100 bounded, correlated with production level but short-term behavior suggests derived score/percent",bounded_score,True,replace_lt_0_with_NaN,0
Val_45,30858,0.0,100.0,9.81762265802181,9.889409900906648,34.80134811070063,0.0,352,0.6306954436450839,0.934550147320765,0.600000399999999,1.5377418361201671,3312,ACTIVE,bounded_score_or_percentage,medium,"0-100 bounded, production-only, not a core physical sensor",bounded_score,True,replace_lt_0_with_NaN,0
Val_46,30812,-96.3000031,100.0,11.985275219284013,12.052688511654575,32.295858756328705,0.1687654160716604,425,0.6156264177846912,0.9617922603209084,0.29999919999999847,0.787704942704003,3302,ACTIVE,bounded_deviation_or_score,medium,"-100 to 100 bounded, negatives likely semantic not raw physical",bounded_score,False,replace_sentinel_-1_and_-100_with_NaN_keep_other_in_range_negatives,46
Val_47,30538,-88.8000031,100.0,0.5536806609770779,10.061559336969012,33.44685310105442,45.343506450979106,559,0.6011407090543781,0.9270197025604479,0.5999999,1.368340163176692,3302,ACTIVE,bounded_deviation_or_score,medium,"-100 to 100 bounded, negatives likely semantic not raw physical",bounded_score,False,replace_sentinel_-1_and_-100_with_NaN_keep_other_in_range_negatives,320
Val_48,30827,-93.5,100.0,-3.7116359116604603,14.461784099222845,32.286631848704054,65.10202095565576,449,0.41292371508198844,0.9713526030797474,0.0,0.4410955328676012,3302,ACTIVE,bounded_deviation_or_score,medium,"-100 to 100 bounded, negatives likely semantic not raw physical",bounded_score,False,replace_sentinel_-1_and_-100_with_NaN_keep_other_in_range_negatives,31
